x,y,z,c,label
-0.276600707,-0.361946196,-0.761673915,b,Uruguay
-0.273697482,-0.40128834,-0.76320103,b,Uruguay
-0.166276279,-0.399310635,-0.861957989,b,Uruguay
-0.198689596,-0.38190542,-0.858626889,b,Uruguay
-0.154965723,-0.398260559,-0.863466882,b,Uruguay
-0.191303387,-0.394848688,-0.801398603,b,Uruguay
-0.245030217,-0.368434509,-0.78266846,b,Uruguay
-0.135264713,-0.39871076,-0.890438569,b,Uruguay
-0.20605345,-0.293915972,-0.811341141,b,Uruguay
-0.107590276,-0.393105586,-0.875541512,b,Uruguay
-0.267665875,-0.401504087,-0.773105137,b,Uruguay
-0.130427315,-0.098435783,-0.947348682,b,Uruguay
-0.791770406,0.874865488,-0.551464726,b,Uruguay
-0.823756952,1.113554823,-0.581331368,b,Uruguay
-0.822974803,1.107854134,-0.580669617,b,Uruguay
-1.308326906,4.727562817,-1.032807542,b,Uruguay
-1.46467453,5.893682705,-1.178503519,b,Uruguay
-1.759972125,8.096040733,-1.453621906,b,Uruguay
-1.101483962,3.18544059,-0.840367963,b,Uruguay
-0.679646619,0.039692529,-0.447536426,b,Uruguay
-0.651973772,-0.166534077,-0.421835439,b,Uruguay
